                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    157,                0.41055,                 0.2229,                0.90155,                0.99986,                      1,                  0.995,                  0.951,                0.36889,                0.14231,                0.90158,               0.004852,               0.004852,               0.004852
                    158,                0.41155,                0.22291,                 0.9015,                0.99986,                      1,                  0.995,                0.95285,                0.36891,                0.14201,                0.90121,               0.004819,               0.004819,               0.004819
                    159,                0.41162,                0.22338,                0.90008,                0.99986,                      1,                  0.995,                 0.9529,                0.36969,                0.14199,                0.90128,               0.004786,               0.004786,               0.004786
                    160,                0.40769,                0.22131,                0.89617,                0.99986,                      1,                  0.995,                0.95287,                 0.3697,                0.14102,                 0.9013,               0.004753,               0.004753,               0.004753
                    161,                0.41364,                0.22261,                0.89797,                0.99986,                      1,                  0.995,                0.95061,                0.36961,                0.14123,                0.90183,                0.00472,                0.00472,                0.00472
                    162,                0.40978,                0.22118,                0.89915,                0.99986,                      1,                  0.995,                0.95025,                0.36954,                0.14131,                 0.9022,               0.004687,               0.004687,               0.004687
                    163,                0.40745,                0.21932,                0.89698,                0.99986,                      1,                  0.995,                0.95015,                0.36986,                0.14107,                0.90301,               0.004654,               0.004654,               0.004654
                    164,                0.40944,                0.22008,                0.89897,                0.99986,                      1,                  0.995,                0.95057,                   0.37,                0.14083,                0.90351,               0.004621,               0.004621,               0.004621
                    165,                0.40635,                0.21785,                0.89978,                0.99986,                      1,                  0.995,                0.95114,                0.36987,                0.14083,                0.90316,               0.004588,               0.004588,               0.004588
                    166,                0.40562,                 0.2183,                0.89467,                0.99986,                      1,                  0.995,                0.95174,                0.36926,                0.14056,                0.90263,               0.004555,               0.004555,               0.004555
                    167,                0.40776,                0.22032,                0.89774,                0.99986,                      1,                  0.995,                0.95085,                0.36842,                0.14032,                 0.9017,               0.004522,               0.004522,               0.004522
